"user id";"active";"School";"Department";"Country";"Motive";"has desc";"has comment";"has fbalbum"
"1";"1";"Nantes";"Informatique";"IN";"Stage";"1";"1";"1"
"1";"1";"Nantes";"Informatique";"US";"Stage";"1";"1";"0"
"1";"1";"Nantes";"Informatique";"US";"Voyage";"0";"0";"0"
"1";"1";"Nantes";"Informatique";"CA";"…tudes";"1";"0";"1"
"4";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"0"
"5";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"1"
"5";"1";"Nantes";"Informatique";"US";"Travail";"1";"1";"1"
"7";"1";"Nantes";"Informatique";"DK";"Stage";"1";"1";"0"
"8";"1";"Nantes";"Informatique";"NL";"Stage";"1";"1";"0"
"9";"1";"Nantes";"Informatique";"US";"Stage";"1";"0";"0"
"9";"1";"Nantes";"Informatique";"CA";"…tudes";"1";"0";"0"
"10";"1";"Nantes";"Informatique";"SE";"…tudes";"0";"0";"0"
"11";"1";"Nantes";"Informatique";"SE";"Stage";"1";"0";"0"
"11";"1";"Nantes";"Informatique";"PL";"…tudes";"1";"0";"0"
"12";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"0"
"13";"1";"Nantes";"Informatique";"DE";"…tudes";"0";"0";"0"
"14";"1";"Nantes";"Informatique";"NL";"Stage";"1";"1";"0"
"15";"1";"Nantes";"Informatique";"NL";"Stage";"1";"0";"1"
"17";"1";"Nantes";"Informatique";"NZ";"Stage";"1";"0";"0"
"18";"1";"Nantes";"Informatique";"AU";"Stage";"0";"0";"0"
"19";"1";"Nantes";"Informatique";"CA";"Stage";"1";"1";"0"
"20";"1";"Nantes";"Informatique";"CA";"Stage";"0";"0";"0"
"22";"1";"Nantes";"Informatique";"NZ";"Stage";"1";"0";"0"
"22";"1";"Nantes";"Informatique";"GA";"Stage";"1";"1";"0"
"25";"1";"Nantes";"Informatique";"MY";"Stage";"0";"0";"0"
"26";"1";"Nantes";"Informatique";"JP";"Stage";"0";"0";"0"
"26";"1";"Nantes";"Informatique";"NC";"Stage";"1";"0";"0"
"28";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"0"
"29";"1";"Nantes";"Informatique";"CA";"Stage";"0";"0";"0"
"31";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"0"
"32";"1";"Nantes";"Informatique";"AE";"Stage";"1";"1";"0"
"32";"1";"Nantes";"Informatique";"AE";"Stage";"1";"1";"0"
"32";"1";"Nantes";"Informatique";"LB";"Voyage";"0";"0";"0"
"32";"1";"Nantes";"Informatique";"JO";"Voyage";"0";"0";"0"
"32";"1";"Nantes";"Informatique";"SY";"Voyage";"0";"0";"0"
"32";"1";"Nantes";"Informatique";"AE";"Stage";"0";"0";"0"
"33";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"34";"1";"Nantes";"Informatique";"MA";"Stage";"1";"1";"0"
"35";"1";"Nantes";"Informatique";"CA";"Stage";"1";"0";"0"
"36";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"37";"1";"Nantes";"Informatique";"IN";"…tudes";"1";"1";"0"
"38";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"39";"1";"Nantes";"Informatique";"GB";"Stage";"1";"0";"0"
"40";"1";"Nantes";"Informatique";"IT";"Stage";"1";"0";"0"
"46";"1";"Nantes";"Informatique";"GB";"Stage";"0";"0";"0"
"47";"1";"Nantes";"Informatique";"CA";"Stage";"0";"0";"1"
"48";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"50";"1";"Nantes";"Informatique";"ES";"Stage";"1";"0";"1"
"58";"1";"Montpellier";"Informatique";"CA";"Stage";"1";"0";"0"
"61";"1";"Montpellier";"Informatique";"US";"Stage";"1";"1";"0"
"62";"1";"Tours";"Informatique";"CA";"…tudes";"0";"0";"0"
"64";"1";"Montpellier";"Informatique";"CA";"Stage";"0";"0";"0"
"80";"1";"Montpellier";"Informatique";"IE";"Stage";"0";"0";"0"
"85";"1";"Lille";"Informatique";"N/A";"N/A";"0";"0";"0"
"96";"1";"Montpellier";"Informatique";"N/A";"N/A";"0";"0";"0"
"111";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"119";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"120";"1";"Nice-Sophia";"Informatique";"N/A";"N/A";"0";"0";"0"
"124";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"135";"0";"Montpellier";"Informatique";"N/A";"N/A";"0";"0";"0"
"136";"1";"Nantes";"Informatique";"RO";"Stage";"1";"1";"0"
"137";"1";"Nantes";"Informatique";"CA";"…tudes";"0";"0";"0"
"137";"1";"Nantes";"Informatique";"CA";"Stage";"0";"0";"0"
"139";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"143";"0";"OrlÈans";"Informatique";"N/A";"N/A";"0";"0";"0"
"161";"1";"Marseille";"Informatique";"KH";"Stage";"1";"0";"0"
"174";"1";"Marseille";"Informatique";"AT";"Stage";"0";"1";"0"
"174";"1";"Marseille";"Informatique";"AT";"Travail";"1";"0";"0"
"184";"1";"Nantes";"Informatique";"N/A";"N/A";"0";"0";"0"
"185";"1";"Montpellier";"Informatique";"AU";"Stage";"1";"0";"1"
"185";"1";"Montpellier";"Informatique";"IT";"Voyage";"0";"1";"0"
"185";"1";"Montpellier";"Informatique";"SI";"Voyage";"0";"1";"0"
"185";"1";"Montpellier";"Informatique";"HR";"Voyage";"0";"1";"0"
"185";"1";"Montpellier";"Informatique";"HU";"Voyage";"0";"1";"0"
